year  gender  rank  name
2017  female  1     Emma
2017  female  2     Olivia
2017  female  3     Ava
2017  female  4     Isabella
2017  female  5     Sophia
2017  male    1     Liam
2017  male    2     Noah
2017  male    3     William
2017  male    4     James
2017  male    5     Logan
2016  female  1     Emma
2016  female  2     Olivia
2016  female  3     Ava
2016  female  4     Sophia
2016  female  5     Isabella
2016  male    1     Noah
2016  male    2     Liam
2016  male    3     William
2016  male    4     Mason
2016  male    5     James
2015  female  1     Emma
2015  female  2     Olivia
2015  female  3     Sophia
2015  female  4     Ava
2015  female  5     Isabella
2015  male    1     Noah
2015  male    2     Liam
2015  male    3     Mason
2015  male    4     Jacob
2015  male    5     William
2014  female  1     Emma
2014  female  2     Olivia
2014  female  3     Sophia
2014  female  4     Isabella
2014  female  5     Ava
2014  male    1     Noah
2014  male    2     Liam
2014  male    3     Mason
2014  male    4     Jacob
2014  male    5     William
2013  female  1     Sophia
2013  female  2     Emma
2013  female  3     Olivia
2013  female  4     Isabella
2013  female  5     Ava
2013  male    1     Noah
2013  male    2     Jacob
2013  male    3     Liam
2013  male    4     Mason
2013  male    5     William
2012  female  1     Sophia
2012  female  2     Emma
2012  female  3     Isabella
2012  female  4     Olivia
2012  female  5     Ava
2012  male    1     Jacob
2012  male    2     Mason
2012  male    3     Ethan
2012  male    4     Noah
2012  male    5     William
2011  female  1     Sophia
2011  female  2     Isabella
2011  female  3     Emma
2011  female  4     Olivia
2011  female  5     Ava
2011  male    1     Jacob
2011  male    2     Mason
2011  male    3     William
2011  male    4     Jayden
2011  male    5     Noah
2010  female  1     Isabella
2010  female  2     Sophia
2010  female  3     Emma
2010  female  4     Olivia
2010  female  5     Ava
2010  male    1     Jacob
2010  male    2     Ethan
2010  male    3     Michael
2010  male    4     Jayden
2010  male    5     William
2009  female  1     Isabella
2009  female  2     Emma
2009  female  3     Olivia
2009  female  4     Sophia
2009  female  5     Ava
2009  male    1     Jacob
2009  male    2     Ethan
2009  male    3     Michael
2009  male    4     Alexander
2009  male    5     William
2008  female  1     Emma
2008  female  2     Isabella
2008  female  3     Emily
2008  female  4     Olivia
2008  female  5     Ava
2008  male    1     Jacob
2008  male    2     Michael
2008  male    3     Ethan
2008  male    4     Joshua
2008  male    5     Daniel
2007  female  1     Emily
2007  female  2     Isabella
2007  female  3     Emma
2007  female  4     Ava
2007  female  5     Madison
2007  male    1     Jacob
2007  male    2     Michael
2007  male    3     Ethan
2007  male    4     Joshua
2007  male    5     Daniel
2006  female  1     Emily
2006  female  2     Emma
2006  female  3     Madison
2006  female  4     Isabella
2006  female  5     Ava
2006  male    1     Jacob
2006  male    2     Michael
2006  male    3     Joshua
2006  male    4     Ethan
2006  male    5     Matthew
2005  female  1     Emily
2005  female  2     Emma
2005  female  3     Madison
2005  female  4     Abigail
2005  female  5     Olivia
2005  male    1     Jacob
2005  male    2     Michael
2005  male    3     Joshua
2005  male    4     Matthew
2005  male    5     Ethan
2004  female  1     Emily
2004  female  2     Emma
2004  female  3     Madison
2004  female  4     Olivia
2004  female  5     Hannah
2004  male    1     Jacob
2004  male    2     Michael
2004  male    3     Joshua
2004  male    4     Matthew
2004  male    5     Ethan
2003  female  1     Emily
2003  female  2     Emma
2003  female  3     Madison
2003  female  4     Hannah
2003  female  5     Olivia
2003  male    1     Jacob
2003  male    2     Michael
2003  male    3     Joshua
2003  male    4     Matthew
2003  male    5     Andrew
2002  female  1     Emily
2002  female  2     Madison
2002  female  3     Hannah
2002  female  4     Emma
2002  female  5     Alexis
2002  male    1     Jacob
2002  male    2     Michael
2002  male    3     Joshua
2002  male    4     Matthew
2002  male    5     Ethan
2001  female  1     Emily
2001  female  2     Madison
2001  female  3     Hannah
2001  female  4     Ashley
2001  female  5     Alexis
2001  male    1     Jacob
2001  male    2     Michael
2001  male    3     Matthew
2001  male    4     Joshua
2001  male    5     Christopher
2000  female  1     Emily
2000  female  2     Hannah
2000  female  3     Madison
2000  female  4     Ashley
2000  female  5     Sarah
2000  male    1     Jacob
2000  male    2     Michael
2000  male    3     Matthew
2000  male    4     Joshua
2000  male    5     Christopher
1999  female  1     Emily
1999  female  2     Hannah
1999  female  3     Alexis
1999  female  4     Sarah
1999  female  5     Samantha
1999  male    1     Jacob
1999  male    2     Michael
1999  male    3     Matthew
1999  male    4     Joshua
1999  male    5     Nicholas
1998  female  1     Emily
1998  female  2     Hannah
1998  female  3     Samantha
1998  female  4     Sarah
1998  female  5     Ashley
1998  male    1     Michael
1998  male    2     Jacob
1998  male    3     Matthew
1998  male    4     Joshua
1998  male    5     Christopher
1997  female  1     Emily
1997  female  2     Jessica
1997  female  3     Ashley
1997  female  4     Sarah
